Tweet	Tag	Score
<S> Zaleel tatti kanjri ghasti <S> teray partner's ne hi kiya hai saaf Sach bol naam lay <S> zaleel ourat <S>	Sexist	5.0
Yei purani khabar humma mat dekhao <A/O> ghasti kei bachaa patwari <A/O> . Inshaallah noon league khatam hoo gai.	Abusive/Offensive	4.0
<S> Mast ghasti randi chekna jism tera <S>	Sexist	5.0
<A/O> GHASTI KE BACHE TERI MAKI CHUT ITNI BAR MARUNGA JI TWITTER JE TREND SE MAHINO NA HATEGI <A/O>	Abusive/Offensive	5.0
<A/O> Ghasti ke bacge <A/O> hud ki bt kr rha tha del kro	Abusive/Offensive	4.0
Pakistan ka No1 4G sirf 6 kb speed de rha he... <A/O> Sare RANDIAN hn bhencud <A/O> ... <A/O> Suvar nasal Ghasti k Bache <A/O> ...	Abusive/Offensive	5.0
<A/O> Woh tu ghasti ka bacha hai <A/O> . <A/O> Clown ki bhi insult Hogi agar sidz ko clown kahao ga <A/O>	Abusive/Offensive	5.0
7 hour ka Abba wait kre ga mn nae... <A/O> Jazz ghasti ka bacha benschor <A/O> . <A/O> Kutiya Sala <A/O> . #Duniya_Ko_Chutiya_Bnao #Duniya_Ko_Bata_Do	Abusive/Offensive	5.0
Khud <S> ghasti <S> usa bag gi hai..aur yahan bashan dy rehi hai	Sexist	3.0
I apologise for name calling, moment of weakness on my part. I think you underestimate the scale of Wahabbism within Islam today - Islam has been amazing in the past. Today Salafists dominate aka Ahmaddiya issue, &amp; much of their divisive agenda is practised. I hope this changes	Neutral	0.0
Remember this. It depends on Leadership. Kapil Mishra/ Osama bin laden jaise log will use religion to make us hate one another. Make us kill each other. It depends on the leadership,on people, not on religion. Ahmaddiya ho, ya brahmin ho. It doesnt take much for people to fight	Neutral	0.0
Rohingya ko myanmaar me maara ja rahaa hai. Uighurs ko China mein. Ahmaddiya ko Pakistan mein. Agar unke is bil mein shaamil nahin kiya, toh Islamophobia nahin hain kya?	Neutral	0.0
Rohingya, ahmaddiya kyon nahin aa sakte?	Neutral	0.0
"How can we believe on those who says #Shia #Ahmaddiya #Bohra #Hindu #Christian #sikh all are #Kafir and ""killing kafir"" is allowed in the name of #religion? #shiagenocide #AhmadiyyatTheTrueIslam #BalochMissingPersons"	Neutral	0.0
Ahlu Sunnah made made its stance clear long ago and the same is ours ... even his native land, Pakistan, is the only country to have officially declared Ahmaddiya community as non-muslims in 1974 or 75	Neutral	0.0
"being an Ahmaddiya (Mirzayi) ain't a big deal for this world has roughly 15 million such people. Albeit they are all considered Kafir by Ahlu Sunnah. What actually is a point with which we vehemently disagree is his portrayal of Islam as an ""extremist religion"""	Neutral	0.0
Shia, Sunni, Bohri and Ahmaddiya are not castes, they are sects 🤣🤣🤣🤣 <Rel> Hindutavadis exposing their dumbness everyday <Rel> is what I live for.	Religious	2.0
<A/O> tatta panchod ghastora <A/O>	Abusive/Offensive	5.0
<S> O randi gashti twaif <S> tari himat kasy hoi hmary pak saf imandar leader ko quote krny ki <A/O> chor hraman <A/O>	Sexist	5.0
<A/O> Uth gashti k bachy Mariam ki najaez ulad uti k bachy <A/O> najaez aur nahata qatal kia h iska hesab dena pry ga	Abusive/Offensive	5.0
<S> Gashti aurat bkwas na kr <S>	Sexist	5.0
<A/O> Lanat tere per kisi gashti maa ki gandi oulaad <A/O>	Abusive/Offensive	5.0
<A/O> Mai nahi Woh Tumari Amman thi kanjra ja kay Pocho appni gashti maan say <A/O>	Abusive/Offensive	5.0
<S> Chutiya or zaleel tareen gashti a ye ! <S> <S> Twitr ki randi a ! <S> <S> Hr bndy sy tw zaleel hui pri ha ! <S>	Sexist	5.0
Lols <S> gashti <S> ab tmhri ghunda gardi nae chly gy buzdar shb enko lagam dalo or pr janon enko smjhae gs	Sexist	3.0
<A/O> Teri Bhen Ka Phudaa Mafroor Begirat Ka Ghulam Sale Maryam Gashti Da Putar Sale Aa LUn Te Charh <A/O> 🖐️🖐️🖐️	Abusive/Offensive	5.0
<S> Tu vrrr maa apni di ..... Vich gshti <S>	Sexist	5.0
Ksm se sab se bara jhoot 💁‍♀️ <A/O> ullu ka patha <A/O> 😑	Abusive/Offensive	3.0
<Rel> Tery mazhub mn jaha azadi hy ...waha har minute mn rape hota hy <Rel>	Religious	5.0
<U> Karachi ka tou rape hogya <U> 😂	Untargeted	3.0
Shahjahanpur woman was set ablaze after failed rape attempt #Shahjahanpur #UttarPradesh #Ablaze #Rape	Neutral	0.0
<A/O> Rape you india me hota hai har 20 mins me <A/O> aur kpk me aik baar temple ko hurt kia tha aur un ko umar ked ho gyi thi Pakistan ke khilaaf bolne se pehle agli baar hazaar baar sochna	Abusive/Offensive	4.0
Today we commemorate the resilient women of IIOJK who faced mass rape in the hands of Indian military and survived. This day reminds us the struggle of Kashmiris against Indian brutalities and survival from constant torture in Kunan and Poshpora. #MassRapeOfKashmiriWomen	Neutral	0.0
Priyanka Gandhi assures justice to rape victim #PriyankaGandhi #Rape	Neutral	0.0
<A/O> India the worlds rape capital <A/O> .	Abusive/Offensive	3.0
is blind cult of few capitalist supremacist to control the world. For this cult killing, abduction and rape of 100 and thousands of Kashmiri women by #Indian govt is not terrorism but if Masood Azhar uses arms against Indian occupation He is a terrorist. #boycottFATF	Neutral	0.0
Aaj aur rape case Koi law and order hai waha kya 🤫	Neutral	0.0
Jagha bs apas me larr rhy ha ! Ky nahi g hram realtion or ha rape or ha ! Axha bolu ya bura haqeeqat yai a hmm mualim ha ! Or larky larkiyan sb ye bhool gye ha tw asa hna e ha jsa aj kl chal rha a !	Neutral	0.0
Bt uski bh thk a ! Hram realtionship ku na tw halal kha ja sakta ha nah e axha just becoz ky hmm khud thra parh likh gye ha or blah blah ! Apku behtr pta kia kehna chah rha me ! But yesh rape 1 alag cheez ha ! Khr aj kl buhat kuxh o rha ! Or hmm unku rokny or khud sai krny ki	Neutral	0.0
<U> Kutti awaaam <U>	Untargeted	3.0
<A/O> O motherchod kutti dy puttar tu ohnda dalla lgda ay <A/O>	Abusive/Offensive	5.0
Jud haty bs time lagta dil bari kutti cheez ha😁😂	Neutral	0.0
Bss ye wala software install krwana...	Neutral	0.0
😂😂 Ab to kharchay ho rahay han 🤣🤣	Neutral	0.0
He is normally good bs <A/O> aj kutti k bachay banay hue hain <A/O>	Abusive/Offensive	3.0
🥺😭 <A/O> kutti <A/O> 😭💔💔💔	Abusive/Offensive	2.0
Ma sirf id open rk k tweet like kr k wapas chala ata hon 😂😂😂😂	Neutral	0.0
jan me smjh ra hn,,,, <A/O> kutti k bachy <A/O> ,,,nikl idr se	Abusive/Offensive	3.0
🇺🇸: Wao you are so intelligent 🤗🤗 🇵🇰: <A/O> Tu Bari kutti cheiz ain <A/O> .	Abusive/Offensive	3.0
<A/O> kutti cheez hai ye saala <A/O>	Abusive/Offensive	4.0
aby ni pata mjy <A/O> yeh kutti <A/O> jan k kr rhi hai 😂😂	Abusive/Offensive	2.0
Yeh dekhey MERI <A/O> landhay ki kutti <A/O> ...😂😂😂😂😂	Abusive/Offensive	4.0
jou aj sarfraz match k baad apni team ka haal krey ga wohi	Neutral	0.0
<A/O> kutti manhoos <A/O> phly match main karachi ki support kia fb pr mar post dekh mri	Abusive/Offensive	3.0
hn ab thk hai fr ab tu <A/O> kutti <A/O> ni	Abusive/Offensive	2.0
<A/O> kutti <A/O> 😒😒😒	Abusive/Offensive	2.0
"<A/O> Kutti <A/O> Choraan Naal Ralli Hoye Ay "" did you mean this ... 🐕"	Abusive/Offensive	2.0
<A/O> Chal kutti <A/O>	Abusive/Offensive	2.0
<A/O> Bhenchod <A/O> 3saal say to yhi keh rha <A/O> kutti kay bchay <A/O> 😝😝😝 Imran khan tera behnoi lgta hai <A/O> ghora gali ki randi k bachay <A/O> 😛😛	Abusive/Offensive	5.0
<U> kutta kutti ho rahi hai <U>	Untargeted	3.0
Data warning hogi	Neutral	0.0
sali De Kisi Aur Ne post Dala Hoga <A/O> Tum Sab Kuti Nikali Ho <A/O> ok <A/O> Kutti ka support karne sali nikal <A/O> ab Galiyan Dungi Itni Yad Karenge	Abusive/Offensive	4.0
Hello <A/O> apni kutti ko smj <A/O> abi mana post nae dal ma zyd karo gi per ok baat yad rakho tu	Abusive/Offensive	4.0
Oh i see you didn't much interact with people Yup acha response ki expectations mujhe b khaa jati ha andar se Yeh umeed e <U> bari kutti cheez <U> ha sochta hu umeed ni lagani phir b umeed laga kar khud se haar jata hu Han naw reply less ho jatay ha jab koi baat ko sahi samajh na paye	Untargeted	2.0
Aadat <U> bari kutti cheez <U> ha us ko change karnay par log us se haar jatay ha	Untargeted	2.0
<A/O> Bht he kutti nasal banai hy pml n ne <A/O> lol	Abusive/Offensive	3.0
<A/O> A gai kutti bhonkny <A/O>	Abusive/Offensive	4.0
Ameen aur <A/O> tu b kutti <A/O> ♥️	Abusive/Offensive	2.0
<A/O> Kitny behn chood log hoty han wo ghadar jo pesy ki khatir apni maa bi sale kr dyty han <A/O> ... <A/O> ja kisi kutti dy bachy <A/O> .. <A/O> parvez rashid ki esy safai sy rha ha jesy behan ka rishta dia howa isko <A/O>	Abusive/Offensive	5.0
<S> Ye burger aur khusray nation bananay ki taraf 1 qadam hai <S>	Sexist	4.0
Baat smjh lag gai naaa??? Meri English theek krne se acha hai k apne chal chalan theek kr looo. Aurat march ko support krne wale <S> khusray <S>	Sexist	3.0
<S> Meri Behan bhi teri mar dey gi khusray <S> . 😂🤪	Sexist	5.0
Wahan tehra howa tha tau pata nahi tha rent bhi daina hai? Kahan ka asool. Mathay ka jhoomer. <S> Khusray kaan k neechay rukh k dun ga <S> . Nikal patli gali say	Sexist	4.0
Han aur is time feelings b kaafir wali aati ha qk woh sawal aise puchte ha😂😂🙊😔🤦	Neutral	0.0
Bht brra farq hy. . Owliya k man'ny waly Muslim hen Or buton ki pooja krny waly kaafir ...	Neutral	0.0
Jadoo haram hota hai 🙃	Neutral	0.0
aj Bhi Na krty Tu Fans Ne In Ka Jeena Haram Krr Dena Tha🤣🤣🤣🤣🤣🤣	Neutral	0.0
Qazzi sahb ko send kro media ky sath court k <Rel> amlla bi haram khoor hy <Rel>	Religious	3.0
Why every haram thing feels good and every halal thing feels different? Maybe just to test us, this world is a test anyway.	Neutral	0.0
RT : No matter how pure the love is it's haram without nikah❤️✨	Neutral	0.0
RT : Har rishwat or haram ki kamayie walay ko phansi	Neutral	0.0
RT : Ghor se dykh ye tissue ha.. <Rel> kisi kutty pily haram zady ghandi nali k keery <Rel>	Religious	5.0
<U> Haram khor <U> janwaro ko mask b parchi nazar ata ab 🤣🤣🤣🤣🤣	Untargeted	3.0
<Rel> Haram kha kha k aqal py parda parh chuka h tumhari <Rel>	Religious	3.0
Roti kha kha k mat waj gi h tum logon ki. <Rel> Ye mask h haram khor ullu <Rel>	Religious	4.0
Ghareeb marna behtar haram khane sy	Neutral	0.0
<Rel> Ina ny briii Haram mout mrna yaqeen mano <Rel>	Religious	5.0
Bro Haram Khany ki laat lag gyii hy	Neutral	0.0
Nikah sy phly ankh utha kr dekhna bi Haram Hai☺️	Neutral	0.0
<Rel> Yeh hai teri okat tera baap es ki maa ko galiya deta tha or aj tu khud es haram k pile ko deti hai <Rel> ha ha	Religious	5.0
❤️❤️😍😍 kon kon haram kahta hai lai ao usko 😂😂😂😂	Neutral	0.0
Bhai mere isko regulate kon karta backup kon deta iska ! Digital currency achi cheez hai Bitcoin unknown hai koi bi iska backup nahi deta high volatile hai ye Gambling he hai ! Ye islam mein waise bi haram hai baqi Apne aap to tasali dene ky liye jo marzi krlo !	Neutral	0.0
Ghussa haram hai Allah taala maaltay hain🥺	Neutral	0.0
Chatni haram h	Neutral	0.0
Gussa krna haram hy bhai apko pta hy kia 😂😂😂	Neutral	0.0
Ap breath krty bht.....so dating you is haram	Neutral	0.0
Phil Salt is namak haram.	Neutral	0.0
Khudkushi Haram hy.. 😂	Neutral	0.0
<Rel> Haram e haram bhra h pait mn iske <Rel>	Religious	3.0
Why you are frustrated 😞. <A/O> You are a son of bitch <A/O> who was against Fatima Jinnah. <Rel> You are haram ka Bacha <Rel> .	Religious	5.0
<Rel> Haram ka maal kha kha kar haram ka hi hogya hai yeh sahafati dalla <Rel>	Religious	5.0
😷😷 mer bari ay <Rel> tu haram hogya ay <Rel> 😷😐	Religious	2.0
<Rel> Abay haram zaday masjid mai kanjar nachatay ho <Rel> nam Islam ka laitay ho <Rel> kafro <Rel>	Religious	5.0
Saryy <Rel> is haram khor <Rel> ko block kro or report maroO🤫🤫🤫	Religious	3.0
<Rel> Haram zaday <Rel> tujay masjid Wazeer Khan mai dance kartay hoay sharam nai <A/O> jaisi maa kanjar vaisa Baita kanjar <A/O> .... <Rel> Salay is say acha tu hindu paida ho jata kaminay <Rel>	Religious	5.0
Sona mardon p Haram hy 😂	Neutral	0.0
Hamy apny ap par tars ay na ay pakistan py tars aia h. Tum log sirf khud ko sochty ho jesy tumhara leader.sab idaro ko andr sy khokhla krdea sirf is wja sy k mjy koi pochy na sabko khilao. Shaed ap b un mein sy ik ho .ku k cheekh wohi raha h jisko haram milna bnd hoa	Neutral	0.0
<Rel> Ye pgl ka bacha h haram khorr <Rel>	Religious	4.0
Phir saida saida band ker parliament ko mughal raj hi chalana hai. <A/O> Ais baghairat <A/O> sc ki waja se pak ko 6 billion dollars ka fine ho chaka hai lekin <Rel> haram hai koi sharam ya haya <Rel>	Religious	4.0
<Rel> Lakh lakh LAANAT ALLAH KI on those who forced presiding officers to change results <Rel> . If some institution getting pay from TAX PAYERS is involved <Rel> they are eating HARAM to their families and adding HARAMIS in Pakistani population <Rel> .	Religious	5.0
Haram ha as aurat ne kbhe sach bolna ha... Sar sar ro ro kr zindgi guzar degy	Neutral	0.0
Again DFM jub <Rel> ap jaisi aulad jokay haram ki kamai say pali gai ho uska reward apkay haram khooor baap ko rubnay duniya main hi diya tumhari surat main <Rel> ......... jisay har banda hissa mangta hi nazar atta hay	Religious	5.0
<Rel> HARAM ZADI <Rel>	Religious	3.0
Oh .. send your 2 million refugees to India and we will then see who is who.. namak haram!	Neutral	0.0
I am fine😊 Sooti hoon fajr prh kr Thori dair baad ...behn bhai sary Ghar me shorr daal kr jeena haram kr dety hain 😅	Neutral	0.0
<Rel> Haram khan <Rel>	Religious	3.0
Border py apny bhai ko bhej do ya hmara mulk chor dein .... <Rel> Ghadr namak haram <Rel>	Religious	3.0
phir tu prize bond bi haram hay , bank job bi jo non Islamic hain wo bi jaiz nhi, lambi bahas hay phir kabi daliyal say proof karoon ga sister jazak Allah	Neutral	0.0
<Rel> Haram ki ollad harram ky kaam <Rel>	Religious	5.0
haram toba	Neutral	0.0
Billi na dikha inho ne mera jeena haram kiya hua aaj kal🙊😂😂😂	Neutral	0.0
<Rel> iss haram zaday ky liay lanat bhi panah mangti hy kahan kahan mun kalay kiay hain nasli khota <Rel>	Religious	5.0
Kidhar gharak ho gaya khud foj main or bachay bhi dal kar sambhalta chocha <Rel> haram ki nasal <Rel>	Religious	4.0
Woh jo dil mein qayam karte hain wohi jeena haram karte hain.	Neutral	0.0
yes you are right after nikah it's not Haram...	Neutral	0.0
RT : Apno ka ek taana pata ni kitni raaton ki neend haram krdeta hai.	Neutral	0.0
<A/O> Kutty k bachi <A/O> konsa vote <Rel> haram khor nasal pak k <Rel> tabhai py la khra kiya ha yahn insaf nh ho rha tmhry paly huye <Rel> kutton sa Allah k adlt Me na haram k pasia chlyva na tmhri koi chez Allah pak k lanat ho tm py tmhry khandan py <Rel>	Religious	5.0
<Rel> Ye wazeer haram khor <Rel> , humain b promote kra dety tou kya jata in ka😷	Religious	3.0
<U> Haram hy awaam <U> 😂	Untargeted	3.0
Kinda want to reinstall ludo star but its haram 💔	Neutral	0.0
Jeena haram*	Neutral	0.0
But we against haram too 👉🏼👈🏼 so yeah	Neutral	0.0
Aise <Rel> koi haram nasl ka kutta hai Ye Sohail Tanvir Chutyiaaa <Rel> #MSvIU	Religious	5.0
Ye tou haram nahi tha☠️	Neutral	0.0
And i know because i don't want such haram relationships 🌸	Neutral	0.0
<Rel> Haram Zada Kanjar MUQASAR <Rel>	Religious	4.0
Kro quraban ...haram hi woo chooron pe he qurabn...Allah ko yeh nhi chaye	Neutral	0.0
Ufff luckiest moment of life cant explain my feelings when see video. Me and my family was lucky enough to pray behind this great man many times during our Umrah,20,Feb, 2019,5times prayer in Haram Mecca Ya Allah call me again with family,and my dearest brother,M,Faiz Ahmad Late,	Neutral	0.0
RT : Sharab Rab ny Haram rakh d Phir kiu Rakhi Halal Ankhin Hazaru in sy Qatal hovy hn Khuda k bndy Sambhal Ankhin	Neutral	0.0
Yaar love marriage nahi hoti to arrange e krlo, haram krnay me sb lion ho, hlal me geedar ban jatay o.	Neutral	0.0
We can never save ourselves from the haram of interest based IMF loans without establishing the khilafah. #EstablishingKhilafahIsOurDuty	Neutral	0.0
<Rel> Good maro in haram khoro ko <Rel> inka baap ka pakistan hai pakistan baba Jan Ka Labik walo ka hai nahi chora ga ..	Religious	4.0
no matter what, haram is haram at the end of the day. stop trying to justify haram things pls	Neutral	0.0
<Rel> Maa b beti k lifafay hi khati <Rel> hai <Rel> jub haram khaen gaey tu aisi dua hi karain gi <Rel>	Religious	4.0
<Rel> Behan cohd ho tum bibi haram ki nasil ho tum <Rel>	Religious	5.0
Haram on so many levels	Neutral	0.0
ap bh ladli the phr ap ko <Rel> haram khanay ki lat lag gai <Rel>	Religious	3.0
Ye mai hun Ye mery sath meri billia hain Ye rat ka 1:33 bj gya hai Or ye meri neendyn haram ho rhi hain	Neutral	0.0
Kuch larke or larkiya is liye bhi Single hein kyun ke wo Nikah mei Yaqeen rakhty hein naa ke Haram rishton mei	Neutral	0.0
<Rel> Gadhe haram khor <Rel> aik banda jo nawaz aur zaradri ke khilaf khara raha aur itne madad ke unko harane main wo bura hai. Aur zaradri nawaz jo kharbon ke chor hain aur court se ceritify dacoits hain wo leader hai aur unke dalale krte hue tum jaise log fakhar mehsos krte ho	Religious	4.0
Yehi k ap Bahot Hadd Haram hain 🙃	Neutral	0.0
RT : ROSES ARE RED VIOLETS ARE BLUE VALENTINE'S DAY IS HARAM BUT I'D STILL MAKE DUA ASKING FOR U	Neutral	0.0
Teri prescription post krta hun bipolar ho gya tha <Rel> tu haraami <Rel> 😂	Religious	2.0
Nani hona koi gali nahi albata becharay <Rel> yahoodi khan <Rel> ko Dada aur nana bana naseeb hi nahi ho all ready 70 saal ka hai Allah ko kissi waqt bhi pyara hoskta hai	Religious	2.0
<A/O> You pagal aurat <A/O> 😂	Abusive/Offensive	1.0
Haseen aurat	Neutral	0.0
<A/O> Ankhen he ya button o patwaran <A/O> . Zara ghor se dekho k kya he. Yeh mask he. <A/O> Parhi likhi jahil aurat <A/O>	Abusive/Offensive	5.0
Ye ap mulk ko baddaua de rei hai . <A/O> Aisi pagal aurat <A/O> ... “jiski London tu kiya Pakistan ma koi property nahi “meray koi 90 ye 95 lac k asasay hain aur ma regular text pay krti hon “ jhooti aurat . Power stricken	Abusive/Offensive	2.0
AM Multn is not under any single organization &amp; is work of activists, students, &amp; community mmbrs, with support from Aurat Marches &amp; women's orgs. AM Multn is mostly the work of community mmbrs One of our organizers shares why she marches #WhyIMarch #AuratMarch2021	Neutral	0.0
Mola Ali a.s or Ahl e bait ki taleemat humy y btati h aurat Na mehram se parda kry or mard Na mehram Aurat ko na dekhy Hum manty to h Ahlebait ko lekin unki ni manty is m my bhi brabar ka qasurwar hu Allah hum ko hidayat dy Amen Syed Sajjad a.s chadron ka name sun k roty thy	Neutral	0.0
<S> Gandi aurat <S>	Sexist	3.0
Me ne ek Aalme Deen se suna hai Nabi Paak ne farmaya hai Keh koi aurat apne jism pe naqsho nigaar aur ghair zruri zebaish kre gi tu wo aurat Jannat mei daakhil tu dur, wo Jannat ki khushbu bhi nai soongh paye gi.	Neutral	0.0
Allah SWT ap ke jyez maqsd pure kre g Ameen Wese mard o aurat ko iss qism ke threads manah hain Baqi ap ki marzi	Neutral	0.0
Bat sirf aurat ki nhi.,yeh aaj k door ki Haqeeqat ha jis Mard ki Jaib khali ha uska koi wajod nhi.,	Neutral	0.0
<S> Tu b chor tera bap b chor bazaro aurat <S>	Sexist	4.0
Kya sirf aurat ke bat ho rahe ha ?	Neutral	0.0
<A/O> faarighh aurat! <A/O> 😂	Abusive/Offensive	1.0
This Aurat give trp to NAMAK . I knew it tu hi hai woh dhokebazzz 😤😤😤😤😤😤	Neutral	0.0
<A/O> Jahil Aurat <A/O> question dekh 😂😂😂 ulta hi jawab deti hai 😂😂😂😂	Abusive/Offensive	2.0
Need serious action against this <A/O> stupid Aurat# <A/O>	Abusive/Offensive	1.0
<Rel> Ketni koi makroo aurat hai yeah <Rel>	Religious	2.0
"Nayaab hain wo mard,jo gusse mein bhi Aurat"" se baat karne ki tameez nahi bhultte!""🌸"	Neutral	0.0
Ye to in k halaat hain. Phr inhein Aurat March k posters say masla hota hai.	Neutral	0.0
Ye kon aurat......hai	Neutral	0.0
222😭😭😭😂 <A/O> besharam aurat <A/O> ha	Abusive/Offensive	1.0
<A/O> tarbeyat main kami ki zinda misal <A/O> .... <Rel> shetan Aurat <Rel>	Religious	3.0
Yh ap ko aurat March mein help kary ga paka........😂😉	Neutral	0.0
Wth is aurat March???🤦‍♂️🤷‍♀️	Neutral	0.0
Ridiculous... Aurat March is probably gearing up to demand reduced defence budget, de-militarization of Balochistan and non alignment with China at UN on Ughur issue None of these issues are women centric That LEFT gaslighting masses and pushing another good movement to the grave	Neutral	0.0
Some dirt of this society is ready to spread it more in our society like toxic march of aurat <A/O> they are below the moral values they are social beasts <A/O> just <A/O> #LanatAuratMarch <A/O>	Abusive/Offensive	4.0
<S> jo aurat 4 month main bchi paida kar sakti he wo is tarha hi boly gi <S>	Sexist	3.0
There is nothing wrong with Aurat March. It should be promoted. But if they wants to bring vulgarity in the name of freedom, this will nit going to be happened sisters. Know your place and bring the change.	Neutral	0.0
RT : Say No to dirty &amp; <U> lunatic aurat march <U> .... its just <U> lanat march <U>	Untargeted	4.0
